"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 30 07:17:27 GMT 2023","Sun Jul 30 07:17:29 GMT 2023","1855","","Search item Test","","","","Search for an item",""
"broken","Sun Jul 30 07:15:21 GMT 2023","Sun Jul 30 07:16:21 GMT 2023","60009","","Checkout after adding item to cart","","","","""before each"" hook for Checkout after adding item to cart",""
"broken","Sun Jul 30 07:16:24 GMT 2023","Sun Jul 30 07:17:24 GMT 2023","60007","","Add an item to shopping cart Test","","","","Add item to cart",""
"broken","Sun Jul 30 07:18:34 GMT 2023","Sun Jul 30 07:18:34 GMT 2023","1","","Add address to customer information test","","","","Add address",""
"broken","Sun Jul 30 07:18:37 GMT 2023","Sun Jul 30 07:19:37 GMT 2023","60009","","Sign-up Test","","","","Register a new user",""
