"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Aug 04 04:26:34 GMT 2023","Fri Aug 04 04:27:34 GMT 2023","60007","","Add an item to shopping cart Test","","","","Add item to cart",""
"passed","Fri Aug 04 04:27:38 GMT 2023","Fri Aug 04 04:27:40 GMT 2023","2473","","Search item Test","","","","Search for an item",""
"broken","Fri Aug 04 04:28:47 GMT 2023","Fri Aug 04 04:28:47 GMT 2023","1","","Add address to customer information test","","","","Add address",""
"broken","Fri Aug 04 04:25:30 GMT 2023","Fri Aug 04 04:26:30 GMT 2023","60006","","Checkout after adding item to cart","","","","""before each"" hook for Checkout after adding item to cart",""
