"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Jul 30 06:33:34 GMT 2023","Sun Jul 30 06:34:34 GMT 2023","60006","","Checkout after adding item to cart","","","","""before each"" hook for Checkout after adding item to cart",""
"passed","Sun Jul 30 06:35:41 GMT 2023","Sun Jul 30 06:35:43 GMT 2023","2130","","Search item Test","","","","Search for an item",""
"broken","Sun Jul 30 06:36:53 GMT 2023","Sun Jul 30 06:37:53 GMT 2023","60009","","Sign-up Test","","","","Register a new user",""
"broken","Sun Jul 30 06:34:38 GMT 2023","Sun Jul 30 06:35:38 GMT 2023","60007","","Add an item to shopping cart Test","","","","Add item to cart",""
"broken","Sun Jul 30 06:36:49 GMT 2023","Sun Jul 30 06:36:49 GMT 2023","2","","Add address to customer information test","","","","Add address",""
