"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Jul 30 07:12:45 GMT 2023","Sun Jul 30 07:13:45 GMT 2023","60006","","Sign-up Test","","","","Register a new user",""
"passed","Sun Jul 30 07:11:35 GMT 2023","Sun Jul 30 07:11:37 GMT 2023","2199","","Search item Test","","","","Search for an item",""
"broken","Sun Jul 30 07:12:42 GMT 2023","Sun Jul 30 07:12:42 GMT 2023","2","","Add address to customer information test","","","","Add address",""
"broken","Sun Jul 30 07:09:29 GMT 2023","Sun Jul 30 07:10:29 GMT 2023","60006","","Checkout after adding item to cart","","","","""before each"" hook for Checkout after adding item to cart",""
"broken","Sun Jul 30 07:10:32 GMT 2023","Sun Jul 30 07:11:32 GMT 2023","60007","","Add an item to shopping cart Test","","","","Add item to cart",""
