"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Aug 04 04:33:22 GMT 2023","Fri Aug 04 04:33:22 GMT 2023","2","","Add address to customer information test","","","","Add address",""
"broken","Fri Aug 04 04:30:08 GMT 2023","Fri Aug 04 04:31:08 GMT 2023","60006","","Checkout after adding item to cart","","","","""before each"" hook for Checkout after adding item to cart",""
"passed","Fri Aug 04 04:32:14 GMT 2023","Fri Aug 04 04:32:16 GMT 2023","2318","","Search item Test","","","","Search for an item",""
"broken","Fri Aug 04 04:31:11 GMT 2023","Fri Aug 04 04:32:11 GMT 2023","60007","","Add an item to shopping cart Test","","","","Add item to cart",""
"broken","Fri Aug 04 04:33:25 GMT 2023","Fri Aug 04 04:34:25 GMT 2023","60007","","Sign-up Test","","","","Register a new user",""
