"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Jul 30 06:24:13 GMT 2023","Sun Jul 30 06:25:13 GMT 2023","60008","","Add an item to shopping cart Test","","","","Add item to cart",""
"passed","Sun Jul 30 06:25:17 GMT 2023","Sun Jul 30 06:25:19 GMT 2023","1915","","Search item Test","","","","Search for an item",""
"broken","Sun Jul 30 06:26:28 GMT 2023","Sun Jul 30 06:27:28 GMT 2023","60007","","Sign-up Test","","","","Register a new user",""
"broken","Sun Jul 30 06:23:09 GMT 2023","Sun Jul 30 06:24:09 GMT 2023","60008","","Checkout after adding item to cart","","","","""before each"" hook for Checkout after adding item to cart",""
"broken","Sun Jul 30 06:26:24 GMT 2023","Sun Jul 30 06:26:24 GMT 2023","1","","Add address to customer information test","","","","Add address",""
