"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 04 05:10:41 GMT 2023","Fri Aug 04 05:10:45 GMT 2023","3544","","Search item Test","","","","Search for an item",""
"broken","Fri Aug 04 05:11:50 GMT 2023","Fri Aug 04 05:11:50 GMT 2023","2","","Add address to customer information test","","","","Add address",""
"broken","Fri Aug 04 05:09:39 GMT 2023","Fri Aug 04 05:10:39 GMT 2023","60007","","Add an item to shopping cart Test","","","","Add item to cart",""
"broken","Fri Aug 04 05:11:53 GMT 2023","Fri Aug 04 05:12:53 GMT 2023","60009","","Sign-up Test","","","","Register a new user",""
"broken","Fri Aug 04 05:08:37 GMT 2023","Fri Aug 04 05:09:37 GMT 2023","60007","","Checkout after adding item to cart","","","","""before each"" hook for Checkout after adding item to cart",""
