"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Aug 04 05:16:35 GMT 2023","Fri Aug 04 05:17:35 GMT 2023","60008","","Checkout after adding item to cart","","","","""before each"" hook for Checkout after adding item to cart",""
"broken","Fri Aug 04 05:17:38 GMT 2023","Fri Aug 04 05:18:38 GMT 2023","60007","","Add an item to shopping cart Test","","","","Add item to cart",""
"broken","Fri Aug 04 05:19:52 GMT 2023","Fri Aug 04 05:20:52 GMT 2023","60007","","Sign-up Test","","","","Register a new user",""
"passed","Fri Aug 04 05:18:40 GMT 2023","Fri Aug 04 05:18:44 GMT 2023","3321","","Search item Test","","","","Search for an item",""
"broken","Fri Aug 04 05:19:49 GMT 2023","Fri Aug 04 05:19:49 GMT 2023","1","","Add address to customer information test","","","","Add address",""
