"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Jul 30 07:15:45 GMT 2023","Sun Jul 30 07:16:45 GMT 2023","60007","","Add an item to shopping cart Test","","","","Add item to cart",""
"broken","Sun Jul 30 07:14:40 GMT 2023","Sun Jul 30 07:15:40 GMT 2023","60007","","Checkout after adding item to cart","","","","""before each"" hook for Checkout after adding item to cart",""
"broken","Sun Jul 30 07:17:58 GMT 2023","Sun Jul 30 07:17:58 GMT 2023","2","","Add address to customer information test","","","","Add address",""
"passed","Sun Jul 30 07:16:49 GMT 2023","Sun Jul 30 07:16:51 GMT 2023","2277","","Search item Test","","","","Search for an item",""
"broken","Sun Jul 30 07:18:02 GMT 2023","Sun Jul 30 07:19:02 GMT 2023","60009","","Sign-up Test","","","","Register a new user",""
