"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Aug 04 04:52:06 GMT 2023","Fri Aug 04 04:53:06 GMT 2023","60007","","Sign-up Test","","","","Register a new user",""
"passed","Fri Aug 04 04:50:57 GMT 2023","Fri Aug 04 04:51:00 GMT 2023","2722","","Search item Test","","","","Search for an item",""
"broken","Fri Aug 04 04:48:53 GMT 2023","Fri Aug 04 04:49:53 GMT 2023","60006","","Checkout after adding item to cart","","","","""before each"" hook for Checkout after adding item to cart",""
"broken","Fri Aug 04 04:52:04 GMT 2023","Fri Aug 04 04:52:04 GMT 2023","1","","Add address to customer information test","","","","Add address",""
"broken","Fri Aug 04 04:49:55 GMT 2023","Fri Aug 04 04:50:55 GMT 2023","60006","","Add an item to shopping cart Test","","","","Add item to cart",""
