"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Aug 04 04:30:15 GMT 2023","Fri Aug 04 04:31:15 GMT 2023","60006","","Checkout after adding item to cart","","","","""before each"" hook for Checkout after adding item to cart",""
"broken","Fri Aug 04 04:31:18 GMT 2023","Fri Aug 04 04:32:18 GMT 2023","60006","","Add an item to shopping cart Test","","","","Add item to cart",""
"broken","Fri Aug 04 04:33:29 GMT 2023","Fri Aug 04 04:33:29 GMT 2023","1","","Add address to customer information test","","","","Add address",""
"passed","Fri Aug 04 04:32:21 GMT 2023","Fri Aug 04 04:32:23 GMT 2023","2078","","Search item Test","","","","Search for an item",""
"broken","Fri Aug 04 04:33:32 GMT 2023","Fri Aug 04 04:34:32 GMT 2023","60008","","Sign-up Test","","","","Register a new user",""
