"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 04 04:43:37 GMT 2023","Fri Aug 04 04:43:40 GMT 2023","3670","","Search item Test","","","","Search for an item",""
"broken","Fri Aug 04 04:44:50 GMT 2023","Fri Aug 04 04:45:50 GMT 2023","60009","","Sign-up Test","","","","Register a new user",""
"broken","Fri Aug 04 04:41:31 GMT 2023","Fri Aug 04 04:42:31 GMT 2023","60008","","Checkout after adding item to cart","","","","""before each"" hook for Checkout after adding item to cart",""
"broken","Fri Aug 04 04:44:47 GMT 2023","Fri Aug 04 04:44:47 GMT 2023","2","","Add address to customer information test","","","","Add address",""
"broken","Fri Aug 04 04:42:34 GMT 2023","Fri Aug 04 04:43:34 GMT 2023","60009","","Add an item to shopping cart Test","","","","Add item to cart",""
