"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 04 04:51:19 GMT 2023","Fri Aug 04 04:51:22 GMT 2023","3708","","Search item Test","","","","Search for an item",""
"broken","Fri Aug 04 04:52:32 GMT 2023","Fri Aug 04 04:53:32 GMT 2023","60008","","Sign-up Test","","","","Register a new user",""
"broken","Fri Aug 04 04:49:13 GMT 2023","Fri Aug 04 04:50:13 GMT 2023","60007","","Checkout after adding item to cart","","","","""before each"" hook for Checkout after adding item to cart",""
"broken","Fri Aug 04 04:52:29 GMT 2023","Fri Aug 04 04:52:29 GMT 2023","2","","Add address to customer information test","","","","Add address",""
"broken","Fri Aug 04 04:50:16 GMT 2023","Fri Aug 04 04:51:16 GMT 2023","60010","","Add an item to shopping cart Test","","","","Add item to cart",""
