"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Aug 08 02:06:18 GMT 2023","Tue Aug 08 02:07:18 GMT 2023","60006","","Checkout after adding item to cart","","","","""before each"" hook for Checkout after adding item to cart",""
"passed","Tue Aug 08 02:09:37 GMT 2023","Tue Aug 08 02:09:45 GMT 2023","8135","","Login Test","","","","Login successful",""
"broken","Tue Aug 08 02:07:21 GMT 2023","Tue Aug 08 02:08:21 GMT 2023","60009","","Add an item to shopping cart Test","","","","Add item to cart",""
"broken","Tue Aug 08 02:05:16 GMT 2023","Tue Aug 08 02:06:16 GMT 2023","60008","","Sign-up Test","","","","Register a new user",""
"passed","Tue Aug 08 02:08:24 GMT 2023","Tue Aug 08 02:08:28 GMT 2023","3885","","Search item Test","","","","Search for an item",""
"broken","Tue Aug 08 02:09:34 GMT 2023","Tue Aug 08 02:09:34 GMT 2023","2","","Add address to customer information test","","","","Add address",""
